# Bad IDs, reason
C02036, invalid
C02039, invalid
C02042, invalid
C02044, invalid
C02053, invalid
C02054, invalid
C02062, invalid
C02063, invalid
C02068, invalid
C02070, invalid
C02071, invalid
C02082, invalid
C02092, invalid
C02093, invalid
C02098, invalid
C02102, invalid
C02109, invalid
C02113, invalid
C02114, invalid
C02120, invalid
C02121, invalid
C02127, invalid
C02136, invalid
C02145, invalid
C02148, invalid
C02149, invalid
C02152, invalid
C02156, invalid
C02157, invalid
C02158, invalid
C02164, invalid
C02169, invalid
C02175, invalid
C02176, invalid
C02177, invalid
C02178, invalid
C02182, invalid
C02184, invalid
C02187, invalid
C02190, invalid
C02192, invalid
C02194, invalid
C02208, invalid
C02212, invalid
C02215, invalid
C02219, invalid
C02228, invalid
C02229, invalid
C02238, invalid
C02239, invalid
C02250, invalid
C02251, invalid
C02254, invalid
C02258, invalid
C02259, invalid
C02260, invalid
C02263, invalid
C02268, invalid
C02275, invalid
C02276, invalid
C02279, invalid
C02281, invalid
C02285, invalid
C02286, invalid
C02292, invalid
C02296, invalid
C02300, invalid
C02302, invalid
C02309, invalid
C02310, invalid
C02312, invalid
C02313, invalid
C02316, invalid
C02317, invalid
C02322, invalid
C02326, invalid
C02329, invalid
C02340, invalid
C02346, invalid
C02349, invalid
C02358, invalid
C02361, invalid
C02365, invalid
C02368, invalid
C02369, invalid
C02382, invalid
C02383, invalid
C02384, invalid
C02386, invalid
C02387, invalid
C02388, invalid
C02392, invalid
C02393, invalid
C02396, invalid
C02397, invalid
C02398, invalid
C02402, invalid
C02406, invalid
C02407, invalid
C02408, invalid
C02409, invalid
C02414, invalid
C02416, invalid
C02417, invalid
C02418, invalid
C02422, invalid
C02423, invalid
C02425, invalid
C02428, invalid
C02432, invalid
C02433, invalid
C02435, invalid
C02437, invalid
C02438, invalid
C02439, invalid
C02443, invalid
C02448, invalid
C02449, invalid
C02450, invalid
C02458, invalid
C02459, invalid
C02460, invalid
C02464, invalid
C02468, invalid
C02481, invalid
C02482, invalid
C02491, invalid
C02500, invalid
C02503, invalid
C02510, invalid
C02511, invalid
C02516, invalid
C02523, invalid
C02524, invalid
C02529, invalid
C02531, invalid
C02540, invalid
C02541, invalid
C02542, invalid
C02544, invalid
C02547, invalid
C02550, invalid
C02551, invalid
C02552, invalid
C02556, invalid
C02558, invalid
C02559, invalid
C02561, invalid
C02563, invalid
C02566, invalid
C02568, invalid
C02570, invalid
C02573, invalid
C02580, invalid
C02584, invalid
C02585, invalid
C02586, invalid
C02594, invalid
C02597, invalid
C02598, invalid
C02599, invalid
C02600, invalid
C02602, invalid
C02606, invalid
C02608, invalid
C02609, invalid
C02610, invalid
C02613, invalid
C02618, invalid
C02619, invalid
C02620, invalid
C02622, invalid
C02624, invalid
C02626, invalid
C02629, invalid
C02641, invalid
C02643, invalid
C02644, invalid
C02649, invalid
C02650, invalid
C02651, invalid
C02653, invalid
C02662, invalid
C02663, invalid
C02664, invalid
C02665, invalid
C02667, invalid
C02668, invalid
C02676, invalid
C02680, invalid
C02688, invalid
C02689, invalid
C02690, invalid
C02694, invalid
C02696, invalid
C02697, invalid
C02698, invalid
C02701, invalid
C02708, invalid
C02719, invalid
C02731, invalid
C02733, invalid
C02738, invalid
C02742, invalid
C02746, invalid
C02747, invalid
C02748, invalid
C02751, invalid
C02754, invalid
C02760, invalid
C02767, invalid
C02769, invalid
C02770, invalid
C02772, invalid
C02776, invalid
C02786, invalid
C02788, invalid
C02795, invalid
C02799, invalid
C02813, invalid
C02815, invalid
C02818, invalid
C02819, invalid
C02820, invalid
C02826, invalid
C02829, invalid
C02830, invalid
C02831, invalid
C02832, invalid
C02833, invalid
C02836, invalid
C02840, invalid
C02841, invalid
C02842, invalid
C02844, invalid
C02848, invalid
C02849, invalid
C02859, invalid
C02861, invalid
C02865, invalid
C02870, invalid
C02873, invalid
C02874, invalid
C02875, invalid
C02877, invalid
C02878, invalid
C02881, invalid
C02883, invalid
C02889, invalid
C02891, invalid
C02898, invalid
C02901, invalid
C02902, invalid
C02907, invalid
C02908, invalid
C02910, invalid
C02911, invalid
C02913, invalid
C02925, invalid
C02931, invalid
C02935, invalid
C02936, invalid
C02950, invalid
C02955, invalid
C02958, invalid
C02959, invalid
C02963, invalid
C02966, invalid
C02968, invalid
C02969, invalid
C02971, invalid
C02973, invalid
C02974, invalid
C02976, invalid
C02978, invalid
C02981, invalid
C03006, invalid
C03008, invalid
C03009, invalid
C03013, invalid
C03014, invalid
C03020, invalid
C03026, invalid
C03038, invalid
C03041, invalid
C03048, invalid
C03053, invalid
C03054, invalid
C03055, invalid
C03060, invalid
C03061, invalid
C03073, invalid
C03075, invalid
C03094, invalid
C03096, invalid
C03099, invalid
C03100, invalid
C03101, invalid
C03102, invalid
C03111, invalid
C03116, invalid
C03118, invalid
C03119, invalid
C03123, invalid
C03128, invalid
C03131, invalid
C03132, invalid
C03133, invalid
C03138, invalid
C03143, invalid
C03144, invalid
C03155, invalid
C03158, invalid
C03159, invalid
C03163, invalid
C03165, invalid
C03171, invalid
C03180, invalid
C03181, invalid
C03182, invalid
C03191, invalid
C03192, invalid
C03202, invalid
C03208, invalid
C03211, invalid
C03213, invalid
C03216, invalid
C03222, invalid
C03229, invalid
C03234, invalid
C03244, invalid
C03247, invalid
C03249, invalid
C03250, invalid
C03252, invalid
C03253, invalid
C03255, invalid
C03257, invalid
C03258, invalid
C03260, invalid
C03261, invalid
C03265, invalid
C03266, invalid
C03270, invalid
C03271, invalid
C03275, invalid
C03276, invalid
C03278, invalid
C03279, invalid
C03282, invalid
C03285, invalid
C03286, invalid
C03288, invalid
C03293, invalid
C03295, invalid
C03301, invalid
C03304, invalid
C03307, invalid
C03308, invalid
C03310, invalid
C03316, invalid
C03320, invalid
C03321, invalid
C03322, invalid
C03324, invalid
C03327, invalid
C03331, invalid
C03332, invalid
C03333, invalid
C03334, invalid
C03335, invalid
C03337, invalid
C03346, invalid
C03350, invalid
C03353, invalid
C03355, invalid
C03358, invalid
C03362, invalid
C03364, invalid
C03369, invalid
C03370, invalid
C03376, invalid
C03377, invalid
C03380, invalid
C03381, invalid
C03382, invalid
C03385, invalid
C03386, invalid
C03388, invalid
C03389, invalid
C03390, invalid
C03396, invalid
C03397, invalid
C03398, invalid
C03399, invalid
C03403, invalid
C03407, invalid
C03420, invalid
C03421, invalid
C03424, invalid
C03426, invalid
C03430, invalid
C03432, invalid
C03435, invalid
C03436, invalid
C03439, invalid
C03441, invalid
C03443, invalid
C03445, invalid
C03447, invalid
C03449, invalid
C03452, invalid
C03464, invalid
C03468, invalid
C03469, invalid
C03471, invalid
C03472, invalid
C03477, invalid
C03478, invalid
C03480, invalid
C03481, invalid
C03482, invalid
C03484, invalid
C03487, invalid
C03488, invalid
C03489, invalid
C03490, invalid
C03496, invalid
C03501, invalid
C03504, invalid
C03507, invalid
C03513, invalid
C03520, invalid
C03528, invalid
C03530, invalid
C03532, invalid
C03533, invalid
C03534, invalid
C03538, invalid
C03540, invalid
C03542, invalid
C03543, invalid
C03545, invalid
C03549, invalid
C03550, invalid
C03551, invalid
C03552, invalid
C03553, invalid
C03554, invalid
C03555, invalid
C03556, invalid
C03558, invalid
C03559, invalid
C03560, invalid
C03562, invalid
C03563, invalid
C03578, invalid
C03581, invalid
C03583, invalid
C03593, invalid
C03596, invalid
C03602, invalid
C03603, invalid
C03605, invalid
C03607, invalid
C03608, invalid
C03609, invalid
C03610, invalid
C03612, invalid
C03613, invalid
C03615, invalid
C03616, invalid
C03627, invalid
C03628, invalid
C03639, invalid
C03644, invalid
C03650, invalid
C03653, invalid
C03655, invalid
C03669, invalid
C03670, invalid
C03675, invalid
C03689, invalid
C03694, invalid
C03695, invalid
C03696, invalid
C03697, invalid
C03698, invalid
C03699, invalid
C03700, invalid
C03704, invalid
C03705, invalid
C03713, invalid
C03714, invalid
C03718, invalid
C03720, invalid
C03728, invalid
C03729, invalid
C03732, invalid
C03744, invalid
C03745, invalid
C03746, invalid
C03749, invalid
C03751, invalid
C03756, invalid
C03759, invalid
C03760, invalid
C03763, invalid
C03769, invalid
C03770, invalid
C03774, invalid
C03775, invalid
C03777, invalid
C03778, invalid
C03781, invalid
C03784, invalid
C03786, invalid
C03787, invalid
C03791, invalid
C03807, invalid
C03809, invalid
C03810, invalid
C03812, invalid
C03813, invalid
C03814, invalid
C03815, invalid
C03816, invalid
C03818, invalid
C03821, invalid
C03825, invalid
C03831, invalid
C03833, invalid
C03835, invalid
C03839, invalid
C03841, invalid
C03842, invalid
C03854, invalid
C03856, invalid
C03857, invalid
C03863, invalid
C03867, invalid
C03869, invalid
C03876, invalid
C03877, invalid
C03883, invalid
C03891, invalid
C03896, invalid
C03902, invalid
C03903, invalid
C03907, invalid
C03908, invalid
C03909, invalid
C03911, invalid
C03913, invalid
C03914, invalid
C03915, invalid
C03919, invalid
C03923, invalid
C03931, invalid
C03932, invalid
C03934, invalid
C03936, invalid
C03937, invalid
C03938, invalid
C03940, invalid
C03945, invalid
C03949, invalid
C03950, invalid
C03952, invalid
C03960, invalid
C03965, invalid
C03966, invalid
C03967, invalid
C03970, invalid
C03971, invalid
C03973, invalid
C03976, invalid
C03977, invalid
C03978, invalid
C03984, invalid
C03988, invalid
C03991, invalid
C03992, invalid
C04003, invalid
C04004, invalid
C04005, invalid
C04008, invalid
C04009, invalid
C04011, invalid
C04012, invalid
C04014, invalid
C04023, invalid
C04027, invalid
C04028, invalid
C04029, invalid
C04032, invalid
C04035, invalid
C04038, invalid
C04040, invalid
C04041, invalid
C04048, invalid
C04055, invalid
C04057, invalid
C04059, invalid
C04060, invalid
C04065, invalid
C04066, invalid
C04077, invalid
C04082, invalid
C04085, invalid
C04086, invalid
C04094, invalid
C04095, invalid
C04096, invalid
C04107, invalid
C04113, invalid
C04119, invalid
C04120, invalid
C04123, invalid
C04124, invalid
C04127, invalid
C04129, invalid
C04139, invalid
C04140, invalid
C04151, invalid
C04162, invalid
C04163, invalid
C04168, invalid
C04169, invalid
C04172, invalid
C04173, invalid
C04174, invalid
C04176, invalid
C04177, invalid
C04179, invalid
C04182, invalid
C04183, invalid
C04184, invalid
C04189, invalid
C04190, invalid
C04192, invalid
C04198, invalid
C04200, invalid
C04206, invalid
C04220, invalid
C04222, invalid
C04224, invalid
C04228, invalid
C04231, invalid
C04238, invalid
C04240, invalid
C04241, invalid
C04243, invalid
C04245, invalid
C04249, invalid
C04252, invalid
C04254, invalid
C04263, invalid
C04267, invalid
C04269, invalid
C04270, invalid
C04278, invalid
C04279, invalid
C04283, invalid
C04288, invalid
C04289, invalid
C04296, invalid
C04304, invalid
C04306, invalid
C04310, invalid
C04319, invalid
C04320, invalid
C04321, invalid
C04325, invalid
C04326, invalid
C04329, invalid
C04331, invalid
C04338, invalid
C04343, invalid
C04344, invalid
C04345, invalid
C04355, invalid
C04356, invalid
C04357, invalid
C04358, invalid
C04362, invalid
C04363, invalid
C04364, invalid
C04369, invalid
C04370, invalid
C04374, invalid
C04380, invalid
C04383, invalid
C04388, invalid
C04389, invalid
C04393, invalid
C04396, invalid
C04400, invalid
C04401, invalid
C04402, invalid
C04406, invalid
C04407, invalid
C04408, invalid
