id, reason
A113087, failed to balance
A113263, failed to balance
A113264, failed to balance
A113280, failed to balance
A113296, failed to balance
A113297, failed to balance
A113298, failed to balance
A113403, failed to balance
A113404, failed to balance
A113420, failed to balance
A113436, failed to balance
A113437, failed to balance
A113438, failed to balance
A113492, failed to balance
A113493, failed to balance
A113509, failed to balance
A113525, failed to balance
A113526, failed to balance
A113527, failed to balance
A113544, failed to balance
A113545, failed to balance
A113546, failed to balance
A113579, failed to balance
A113580, failed to balance
A113583, failed to balance
A113588, failed to balance
A113589, failed to balance
A113590, failed to balance
A113614, failed to balance
A113615, failed to balance
A113618, failed to balance
A113623, failed to balance
A113624, failed to balance
A113625, failed to balance
A113649, failed to balance
A113650, failed to balance
A113653, failed to balance
A113658, failed to balance
A113659, failed to balance
A113660, failed to balance
A113690, failed to balance
A113692, failed to balance
A113693, failed to balance
A113694, failed to balance
A113696, failed to balance
A113697, failed to balance
A113698, failed to balance
A113700, failed to balance
A113701, failed to balance
A113747, failed to balance
A113749, failed to balance
A113750, failed to balance
A113772, failed to balance
A113774, failed to balance
A113775, failed to balance
A113788, failed to balance
A113790, failed to balance
A113791, failed to balance
A113813, failed to balance
A113815, failed to balance
A113816, failed to balance
A113838, failed to balance
A113840, failed to balance
A113841, failed to balance
A113842, failed to balance
A113844, failed to balance
A113845, failed to balance
A113867, failed to balance
A113869, failed to balance
A113870, failed to balance
A113871, failed to balance
A113873, failed to balance
A113874, failed to balance
A113876, failed to balance
A113881, failed to balance
A113944, failed to balance
A114037, failed to balance
A114045, failed to balance
A114120, failed to balance
A114128, failed to balance
A114202, failed to balance
A114210, failed to balance
A114283, failed to balance
A114291, failed to balance
A114444, failed to balance
A114452, failed to balance
A114601, failed to balance
A114609, failed to balance
A114743, failed to balance
A114744, failed to balance
A114759, failed to balance
A114760, failed to balance
A114826, failed to balance
A114834, failed to balance
A114899, failed to balance
A114907, failed to balance
A114971, failed to balance
A114979, failed to balance
A115042, failed to balance
A115050, failed to balance
A115112, failed to balance
A115120, failed to balance
A115122, failed to balance
A115188, failed to balance
A115196, failed to balance
A115316, failed to balance
A115324, failed to balance
A115510, failed to balance
A115518, failed to balance
A115691, failed to balance
A115692, failed to balance
A115707, failed to balance
A115708, failed to balance
A115880, failed to balance
A115888, failed to balance
A115941, failed to balance
A115949, failed to balance
A116054, failed to balance
A116062, failed to balance
A116063, failed to balance
A116090, failed to balance
A116155, failed to balance
A116163, failed to balance
A116209, failed to balance
A116217, failed to balance
A116262, failed to balance
A116270, failed to balance
A116362, failed to balance
A116370, failed to balance
A116495, failed to balance
A116496, failed to balance
A116511, failed to balance
A116512, failed to balance
A116589, failed to balance
A116597, failed to balance
A116632, failed to balance
A116640, failed to balance
A116648, failed to balance
A116649, failed to balance
A116650, failed to balance
A116651, failed to balance
A116652, failed to balance
A116653, failed to balance
A116655, failed to balance
A116656, failed to balance
A116657, failed to balance
A116658, failed to balance
A116659, failed to balance
A116660, failed to balance
A116661, failed to balance
A116663, failed to balance
A116665, failed to balance
A116666, failed to balance
A116667, failed to balance
A116668, failed to balance
A116669, failed to balance
A116670, failed to balance
A116672, failed to balance
A116674, failed to balance
A116675, failed to balance
A116676, failed to balance
A116677, failed to balance
A116678, failed to balance
A116679, failed to balance
A116680, failed to balance
A116681, failed to balance
A116682, failed to balance
A116685, failed to balance
A116686, failed to balance
A116687, failed to balance
A116688, failed to balance
A116730, failed to balance
A116776, failed to balance
A116787, failed to balance
A116896, failed to balance
A116934, failed to balance
A117010, failed to balance
A117011, failed to balance
A117059, failed to balance
A117067, failed to balance
A117105, failed to balance
A117169, failed to balance
A117235, failed to balance
A117263, failed to balance
A117290, failed to balance
A117291, failed to balance
A117313, failed to balance
A117336, failed to balance
A117403, failed to balance
A117405, failed to balance
A117410, failed to balance
A117429, failed to balance
A117447, failed to balance
A117481, failed to balance
A117499, failed to balance
A117501, failed to balance
A117517, failed to balance
A117547, failed to balance
A117549, failed to balance
A117560, failed to balance
A117570, failed to balance
A117573, failed to balance
A117574, failed to balance
A117576, failed to balance
A117577, failed to balance
A117578, failed to balance
A117579, failed to balance
A117581, failed to balance
A117585, failed to balance
A117586, failed to balance
A117587, failed to balance
A117693, failed to balance
A117764, failed to balance
A118194, failed to balance
A118262, failed to balance
A118288, failed to balance
A118289, failed to balance
A118421, failed to balance
A118487, failed to balance
A118642, failed to balance
A118706, failed to balance
A118892, failed to balance
A118954, failed to balance
A119642, failed to balance
A119702, failed to balance
A119933, failed to balance
A119991, failed to balance
A120134, failed to balance
A120191, failed to balance
A120217, failed to balance
A120218, failed to balance
A120469, failed to balance
A120521, failed to balance
A120602, failed to balance
A120656, failed to balance
A120692, failed to balance
A120746, failed to balance
A120782, failed to balance
A120833, failed to balance
A121069, failed to balance
A121117, failed to balance
A121143, failed to balance
A121144, failed to balance
A121146, failed to balance
A121147, failed to balance
A121159, failed to balance
A121211, failed to balance
A121237, failed to balance
A121238, failed to balance
A121250, failed to balance
A121298, failed to balance
A121424, failed to balance
A121471, failed to balance
A121681, failed to balance
A121725, failed to balance
A122128, failed to balance
A122129, failed to balance
A122249, failed to balance
A122295, failed to balance
A122321, failed to balance
A122322, failed to balance
A122334, failed to balance
A122380, failed to balance
A122406, failed to balance
A122407, failed to balance
A122686, failed to balance
A122722, failed to balance
A122757, failed to balance
A122792, failed to balance
A122992, failed to balance
A122993, failed to balance
A123621, failed to balance
A123622, failed to balance
A123634, failed to balance
A123659, failed to balance
A123684, failed to balance
A123685, failed to balance
A123697, failed to balance
A123729, failed to balance
A123755, failed to balance
A123756, failed to balance
A123768, failed to balance
A123793, failed to balance
A123827, failed to balance
A123859, failed to balance
A123895, failed to balance
A123920, failed to balance
A123943, failed to balance
A123944, failed to balance
A123946, failed to balance
A123947, failed to balance
A124100, failed to balance
A124101, failed to balance
A124103, failed to balance
A124104, failed to balance
A124119, failed to balance
A124120, failed to balance
A124206, failed to balance
A124234, failed to balance
A124322, failed to balance
A124323, failed to balance
A124335, failed to balance
A124356, failed to balance
